Unit,Creation Date,Start Date,End Date,Value,
count,02/11/2019 15:56,02/11/2019 00:00,02/11/2019 00:09,55,
count,02/11/2019 15:56,02/11/2019 00:20,02/11/2019 00:29,40,
count,02/11/2019 15:56,02/11/2019 00:50,02/11/2019 00:59,35,
count,02/11/2019 15:56,01/11/2019 01:20,01/11/2019 01:29,21,
count,02/11/2019 15:56,31/10/2019 07:30,31/10/2019 07:39,175,
count,02/11/2019 15:56,31/10/2019 07:40,31/10/2019 07:49,125,
count,02/11/2019 15:56,31/10/2019 07:50,31/10/2019 07:59,69,
count,02/11/2019 15:56,31/10/2019 08:00,31/10/2019 08:09,104,
count,02/11/2019 15:56,01/11/2019 08:20,01/11/2019 08:29,25,
count,02/11/2019 15:56,01/11/2019 08:30,01/11/2019 08:39,55,
count,02/11/2019 15:56,01/11/2019 08:40,01/11/2019 08:49,37,
count,02/11/2019 15:56,01/11/2019 08:50,01/11/2019 08:59,65,
count,02/11/2019 15:56,02/11/2019 09:40,02/11/2019 09:49,13,
count,02/11/2019 15:56,31/10/2019 09:50,31/10/2019 09:59,26,
count,02/11/2019 15:56,02/11/2019 09:50,02/11/2019 09:59,62,
count,02/11/2019 15:56,31/10/2019 10:00,31/10/2019 10:09,137,
count,02/11/2019 15:56,01/11/2019 10:00,01/11/2019 10:09,19,
count,02/11/2019 15:56,02/11/2019 10:00,02/11/2019 10:09,23,
count,02/11/2019 15:56,31/10/2019 10:10,31/10/2019 10:19,26,
count,02/11/2019 15:56,02/11/2019 10:10,02/11/2019 10:19,128,
count,02/11/2019 15:56,31/10/2019 10:20,31/10/2019 10:29,306,
count,02/11/2019 15:56,01/11/2019 10:20,01/11/2019 10:29,26,
count,02/11/2019 15:56,31/10/2019 10:30,31/10/2019 10:39,129,
count,02/11/2019 15:56,31/10/2019 10:40,31/10/2019 10:49,223,
count,02/11/2019 15:56,02/11/2019 10:40,02/11/2019 10:49,31,
count,02/11/2019 15:56,31/10/2019 10:50,31/10/2019 10:59,155,
count,02/11/2019 15:56,01/11/2019 10:50,01/11/2019 10:59,302,
count,02/11/2019 15:56,02/11/2019 10:50,02/11/2019 10:59,175,
count,02/11/2019 15:56,31/10/2019 11:00,31/10/2019 11:09,258,
count,02/11/2019 15:56,01/11/2019 11:00,01/11/2019 11:09,16,
count,02/11/2019 15:56,02/11/2019 11:00,02/11/2019 11:09,122,
count,02/11/2019 15:56,01/11/2019 11:10,01/11/2019 11:19,20,
count,02/11/2019 15:56,02/11/2019 11:10,02/11/2019 11:19,124,
count,02/11/2019 15:56,02/11/2019 11:20,02/11/2019 11:29,274,
count,02/11/2019 15:56,02/11/2019 11:30,02/11/2019 11:39,158,
count,02/11/2019 15:56,31/10/2019 11:40,31/10/2019 11:49,10,
count,02/11/2019 15:56,01/11/2019 11:40,01/11/2019 11:49,14,
count,02/11/2019 15:56,02/11/2019 11:40,02/11/2019 11:49,82,
count,02/11/2019 15:56,30/10/2019 12:10,30/10/2019 12:19,144,
count,02/11/2019 15:56,31/10/2019 12:10,31/10/2019 12:19,67,
count,02/11/2019 15:56,01/11/2019 12:10,01/11/2019 12:19,15,
count,02/11/2019 15:56,30/10/2019 12:20,30/10/2019 12:29,179,
count,02/11/2019 15:56,01/11/2019 12:20,01/11/2019 12:29,15,
count,02/11/2019 15:56,02/11/2019 12:20,02/11/2019 12:29,36,
count,02/11/2019 15:56,30/10/2019 12:30,30/10/2019 12:39,194,
count,02/11/2019 15:56,01/11/2019 12:30,01/11/2019 12:39,258,
count,02/11/2019 15:56,02/11/2019 12:30,02/11/2019 12:39,12,
count,02/11/2019 15:56,30/10/2019 12:40,30/10/2019 12:49,11,
count,02/11/2019 15:56,01/11/2019 12:40,01/11/2019 12:49,242,
count,02/11/2019 15:56,02/11/2019 12:40,02/11/2019 12:49,41,
count,02/11/2019 15:56,30/10/2019 12:50,30/10/2019 12:59,88,
count,02/11/2019 15:56,31/10/2019 12:50,31/10/2019 12:59,172,
count,02/11/2019 15:56,01/11/2019 12:50,01/11/2019 12:59,194,
count,02/11/2019 15:56,02/11/2019 12:50,02/11/2019 12:59,62,
count,02/11/2019 15:56,31/10/2019 13:00,31/10/2019 13:09,247,
count,02/11/2019 15:56,01/11/2019 13:00,01/11/2019 13:09,96,
count,02/11/2019 15:56,02/11/2019 13:00,02/11/2019 13:09,180,
count,02/11/2019 15:56,01/11/2019 13:10,01/11/2019 13:19,363,
count,02/11/2019 15:56,01/11/2019 13:20,01/11/2019 13:29,35,
count,02/11/2019 15:56,02/11/2019 13:20,02/11/2019 13:29,42,
count,02/11/2019 15:56,30/10/2019 13:30,30/10/2019 13:39,112,
count,02/11/2019 15:56,31/10/2019 13:30,31/10/2019 13:39,13,
count,02/11/2019 15:56,02/11/2019 13:30,02/11/2019 13:39,13,
count,02/11/2019 15:56,30/10/2019 13:40,30/10/2019 13:49,267,
count,02/11/2019 15:56,31/10/2019 13:40,31/10/2019 13:49,15,
count,02/11/2019 15:56,30/10/2019 13:50,30/10/2019 13:59,141,
count,02/11/2019 15:56,01/11/2019 13:50,01/11/2019 13:59,13,
count,02/11/2019 15:56,30/10/2019 14:00,30/10/2019 14:09,57,
count,02/11/2019 15:56,30/10/2019 14:10,30/10/2019 14:19,138,
count,02/11/2019 15:56,01/11/2019 14:10,01/11/2019 14:19,34,
count,02/11/2019 15:56,30/10/2019 14:20,30/10/2019 14:29,310,
count,02/11/2019 15:56,01/11/2019 14:30,01/11/2019 14:39,31,
count,02/11/2019 15:56,02/11/2019 14:30,02/11/2019 14:39,74,
count,02/11/2019 15:56,30/10/2019 14:40,30/10/2019 14:49,130,
count,02/11/2019 15:56,01/11/2019 14:40,01/11/2019 14:49,118,
count,02/11/2019 15:56,02/11/2019 14:40,02/11/2019 14:49,92,
count,02/11/2019 15:56,02/11/2019 14:50,02/11/2019 14:59,81,
count,02/11/2019 15:56,30/10/2019 15:00,30/10/2019 15:09,77,
count,02/11/2019 15:56,02/11/2019 15:00,02/11/2019 15:09,68,
count,02/11/2019 15:56,30/10/2019 15:10,30/10/2019 15:19,45,
count,02/11/2019 15:56,01/11/2019 15:10,01/11/2019 15:19,70,
count,02/11/2019 15:56,02/11/2019 15:10,02/11/2019 15:19,100,
count,02/11/2019 15:56,30/10/2019 15:20,30/10/2019 15:29,148,
count,02/11/2019 15:56,01/11/2019 15:20,01/11/2019 15:29,115,
count,02/11/2019 15:56,02/11/2019 15:20,02/11/2019 15:29,29,
count,02/11/2019 15:56,30/10/2019 15:30,30/10/2019 15:39,136,
